Plot,Subplot,Plant_Simple,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,ME_iden,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore,individuals,individuals_plot,total_individuals_subplot,total_individuals_plot,prop_individuals_sub,prop_individuals_plot,prop_indiviudals_sub,prop_indiviudals_plot
4,A2,LEMA,192,3,3,Small_beetles,0,0,0,1.88233766233766,0.882337662337662,1,8,4,4,0.188954841047663,0.390621577548395,0,0.100164258268112,0.333333333333333,6,20,424,427,14045,0.0468384074941452,0.030190828823696954,0.0468384074941452,0.001423994304022784
4,A2,LEMA,192,3,1,Small_flies,2,0,0,1.88233766233766,0.882337662337662,1,8,4,4,0.188954841047663,0.390621577548395,0,0.100164258268112,0.333333333333333,6,20,424,427,14045,0.0468384074941452,0.030190828823696954,0.0468384074941452,0.001423994304022784
4,A3,CHFU,152,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,214,381,14045,0.013123359580052493,0.015237823981771575,0.013123359580052493,3.55998576005696e-4
4,A3,LEMA,448,7,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,424,381,14045,0.026246719160104987,0.030190828823696954,0.026246719160104987,7.11997152011392e-4
4,A4,CHFU,760,10,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,214,394,14045,0.02284263959390863,0.015237823981771575,0.02284263959390863,6.407974368102527e-4
4,A4,LEMA,192,3,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,424,394,14045,0.015228426395939087,0.030190828823696954,0.015228426395939087,4.271982912068352e-4
4,A5,CHFU,380,5,1,Hoverflies,0,0,0,1.5,0.5,1,2,1,1,0.113958537592726,0,0.00599393629778866,0.141322760104441,0.333333333333333,2,5,214,409,14045,0.012224938875305624,0.015237823981771575,0.012224938875305624,3.55998576005696e-4
4,A5,LEMA,192,3,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,424,409,14045,0.004889975550122249,0.030190828823696954,0.004889975550122249,1.4239943040227838e-4
4,A6,CHFU,228,3,1,Hoverflies,0,1,0,1.5,0.5,1,2,1,1,0.113958537602474,0,0.00599393629778866,0.141322760104441,0.333333333333333,2,3,214,438,14045,0.00684931506849315,0.015237823981771575,0.00684931506849315,2.135991456034176e-4
4,A6,LEMA,128,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,424,438,14045,0.0228310502283105,0.030190828823696954,0.0228310502283105,7.11997152011392e-4
