year,plot,subplot,focal,fruit,seed
2019,4,A6,LEMA,2,96
2019,4,A6,PAIN,1,1
2019,4,A6,PLCO,1,22
2019,4,A6,POMA,1,86
2019,4,A6,SPRU,30,2520
2019,4,B1,CHFU,1,84
2019,4,B1,HOMA,1,12
2019,4,B1,LEMA,3,144
2019,4,B1,PAIN,1,1
2019,4,B1,PLCO,1,22
2019,4,B1,POMA,1,86
2019,4,B2,CHFU,7,588
2019,4,B2,HOMA,1,12
2019,4,B2,LEMA,7,336
2019,4,B2,PAIN,1,1
2019,4,B2,PLCO,1,22
2019,4,B2,POMA,1,86
2019,4,B3,BEMA,6,24
2019,4,B3,BEMA,12,48
2019,4,B3,CHFU,9,756
2019,4,B3,HOMA,1,12
2019,4,B3,LEMA,6,288
2019,4,B3,PAIN,1,1
2019,4,B3,POMA,1,86
2019,4,B4,CHFU,1,84
2019,4,B4,HOMA,1,12
2019,4,B4,LEMA,9,432
2019,4,B4,PAIN,1,1
2019,4,B4,POMA,1,86
2019,4,B4,SASO,10,20
2019,4,B5,BEMA,4,16
2019,4,B5,CHFU,7,588
2019,4,B5,HOMA,1,12
2019,4,B5,LEMA,3,144
2019,4,B5,PAIN,1,1
2019,4,B5,POMA,1,86
2019,4,B6,CHFU,5,420
2019,4,B6,HOMA,1,12
2019,4,B6,PAIN,1,1
2019,4,B6,POMA,1,86
2019,4,C1,BEMA,4,16
2019,4,C1,CHFU,7,588
2019,4,C1,HOMA,1,12
2019,4,C1,LEMA,3,144
2019,4,C1,PLCO,1,22
2019,4,C1,POMA,1,86
2019,4,C2,CHFU,5,420
2019,4,C2,HOMA,1,12
2019,4,C2,LEMA,7,336
2019,4,C2,PAIN,1,1
2019,4,C2,POMA,1,86
2019,4,C3,CHFU,12,1008
2019,4,C3,HOMA,1,12
2019,4,C3,LEMA,7,336
2019,4,C3,PAIN,1,1
2019,4,C3,POMA,1,86
2019,4,C4,CHFU,10,840
2019,4,C4,HOMA,1,12
2019,4,C4,LEMA,2,96
2019,4,C4,PAIN,1,1
2019,4,C4,POMA,1,86
2019,4,C5,CHFU,2,168
2019,4,C5,HOMA,1,12
2019,4,C5,LEMA,2,96
2019,4,C5,PAIN,1,1
2019,4,C5,POMA,1,86
2019,4,C6,CHFU,3,252
2019,4,C6,HOMA,1,12
2019,4,C6,LEMA,3,144
2019,4,C6,PAIN,1,1
2019,4,C6,POMA,1,86
2019,4,D1,CETE,13,4394
2019,4,D1,CHFU,6,504
2019,4,D1,HOMA,1,12
2019,4,D1,LEMA,2,96
2019,4,D1,PAIN,1,1
2019,4,D1,POMA,1,86
2019,4,D2,CHFU,2,168
2019,4,D2,HOMA,1,12
2019,4,D2,LEMA,1,48
2019,4,D2,PAIN,1,1
2019,4,D2,POMA,1,86
2019,4,D3,CHFU,3,252
2019,4,D3,HOMA,1,12
2019,4,D3,LEMA,2,96
2019,4,D3,PAIN,1,1
2019,4,D3,POMA,1,86
2019,4,D4,CHFU,2,168
2019,4,D4,HOMA,1,12
2019,4,D4,LEMA,4,192
2019,4,D4,PAIN,1,1
2019,4,D4,POMA,1,86
2019,4,D5,CHFU,2,168
2019,4,D5,HOMA,1,12
2019,4,D5,LEMA,3,144
2019,4,D5,PAIN,1,1
2019,4,D5,POMA,1,86
2019,4,D6,CHFU,5,420
2019,4,D6,HOMA,1,12
2019,4,D6,PAIN,1,1
2019,4,D6,PLCO,1,22
2019,4,D6,POMA,1,86
2019,4,E1,BEMA,2,8
2019,4,E1,BEMA,6,24
2019,4,E1,CHFU,5,420
2019,4,E1,HOMA,1,12
2019,4,E1,LEMA,5,240
2019,4,E1,PAIN,1,1
2019,4,E1,POMA,1,86
2019,4,E2,CHFU,7,588
2019,4,E2,HOMA,1,12
2019,4,E2,LEMA,4,192
2019,4,E2,MESU,220,440
2019,4,E2,MESU,240,480
2019,4,E2,PAIN,1,1
2019,4,E2,POMA,1,86
2019,4,E3,CHFU,4,336
2019,4,E3,HOMA,1,12
2019,4,E3,LEMA,12,576
2019,4,E3,PAIN,1,1
2019,4,E3,POMA,1,86
2019,4,E4,CHFU,2,168
2019,4,E4,HOMA,1,12
2019,4,E4,LEMA,3,144
2019,4,E4,PAIN,1,1
2019,4,E4,POMA,1,86
2019,4,E5,BEMA,5,20
2019,4,E5,CHFU,9,756
2019,4,E5,HOMA,1,12
2019,4,E5,LEMA,4,192
2019,4,E5,PAIN,1,1
2019,4,E5,POMA,1,86
2019,4,E6,CHFU,6,504
2019,4,E6,HOMA,1,12
2019,4,E6,LEMA,3,144
2019,4,E6,PAIN,1,1
2019,4,E6,POMA,1,86
2019,4,F1,CHFU,5,420
2019,4,F1,HOMA,1,12
2019,4,F1,LEMA,14,672
2019,4,F1,PLCO,1,22
2019,4,F1,POMA,1,86
2019,4,F2,CHFU,2,168
2019,4,F2,HOMA,1,12
2019,4,F2,LEMA,2,96
2019,4,F2,PAIN,1,1
2019,4,F2,POMA,1,86
2019,4,F3,CHFU,2,168
2019,4,F3,HOMA,1,12
2019,4,F3,LEMA,6,288
2019,4,F3,PAIN,1,1
2019,4,F3,POMA,1,86
2019,4,F4,CHFU,3,252
2019,4,F4,HOMA,1,12
2019,4,F4,LEMA,3,144
2019,4,F4,PAIN,1,1
2019,4,F4,PLCO,1,22
2019,4,F4,POMA,1,86
2019,4,F5,CHFU,2,168
2019,4,F5,HOMA,1,12
2019,4,F5,LEMA,3,144
2019,4,F5,PAIN,1,1
2019,4,F5,POMA,1,86
2019,4,F6,CHFU,4,336
2019,4,F6,HOMA,1,12
2019,4,F6,LEMA,9,432
2019,4,F6,MESU,210,420
2019,4,F6,MESU,220,440
2019,4,F6,MESU,240,480
2019,4,F6,PAIN,1,1
2019,4,F6,POMA,1,86
2019,5,A1,CHFU,9,756
2019,5,A1,HOMA,1,12
2019,5,A1,LEMA,2,96
2019,5,A1,PAIN,1,1
2019,5,A1,POMA,1,86
2019,5,A2,CHFU,14,1176
2019,5,A2,HOMA,1,12
2019,5,A2,LEMA,2,96
2019,5,A2,PAIN,1,1
2019,5,A2,POMA,1,86
2019,5,A2,SASO,5,10
2019,5,A3,CHFU,3,252
2019,5,A3,HOMA,1,12
2019,5,A3,LEMA,5,240
2019,5,A3,PAIN,1,1
2019,5,A3,POMA,1,86
2019,5,A4,CHFU,11,924
2019,5,A4,HOMA,1,12
2019,5,A4,LEMA,6,288
2019,5,A4,PAIN,1,1
2019,5,A4,POMA,1,86
2019,5,A4,SASO,5,10
2019,5,A5,CHFU,2,168
2019,5,A5,HOMA,1,12
2019,5,A5,LEMA,3,144
2019,5,A5,PAIN,1,1
2019,5,A5,POMA,1,86
2019,5,A5,SASO,10,20
2019,5,A6,CHFU,3,252
2019,5,A6,HOMA,1,12
2019,5,A6,LEMA,3,144
2019,5,A6,PAIN,1,1
2019,5,A6,POMA,1,86
2019,5,B1,CHFU,8,672
2019,5,B1,HOMA,1,12
2019,5,B1,LEMA,3,144
2019,5,B1,PAIN,1,1
2019,5,B1,POMA,1,86
2019,5,B2,CHFU,11,924
2019,5,B2,HOMA,1,12
2019,5,B2,LEMA,4,192
2019,5,B2,PAIN,1,1
2019,5,B2,POMA,1,86
2019,5,B2,SASO,5,10
2019,5,B3,CHFU,3,252
2019,5,B3,HOMA,1,12
2019,5,B3,LEMA,3,144
2019,5,B3,PAIN,1,1
2019,5,B3,POMA,1,86
2019,5,B4,CHFU,4,336
2019,5,B4,HOMA,1,12
2019,5,B4,LEMA,4,192
2019,5,B4,PAIN,1,1
2019,5,B5,CHFU,7,588
2019,5,B5,HOMA,1,12
2019,5,B5,LEMA,2,96
2019,5,B5,PAIN,1,1
2019,5,B5,SASO,15,30
2019,5,B6,CHFU,5,420
2019,5,B6,HOMA,1,12
2019,5,B6,LEMA,3,144
2019,5,B6,PAIN,1,1
2019,5,B6,POMA,1,86
2019,5,B6,SASO,20,40
2019,5,C1,CHFU,13,1092
2019,5,C1,HOMA,1,12
2019,5,C1,LEMA,3,144
2019,5,C1,PAIN,1,1
2019,5,C1,POMA,1,86
2019,5,C2,CHFU,9,756
2019,5,C2,HOMA,1,12
2019,5,C2,LEMA,4,192
2019,5,C2,PAIN,1,1
2019,5,C2,POMA,1,86
2019,5,C3,CHFU,5,420
