node_to,layer_to,module_from,Plot,k.is,ks.bar,SD.ks,z,k.i,sum_aux_c,c
C1 LEMA,LEMA,1,1,0.24393289114319158,0.9672805973235158,3.5897615539188985,-0.20150299548187384,0.24393289114319158,0,1
C2 LEMA,LEMA,1,1,0.5300429184549357,0.9672805973235158,3.5897615539188985,-0.12180131529662552,0.5300429184549357,0,1
C2 PUPA,PUPA,2,1,0.2,1.4816468253968254,1.3763045530427223,-0.9312232692708686,0.2,0,1
C3 LEMA,LEMA,1,1,0.02575107296137339,0.9672805973235158,3.5897615539188985,-0.2622819121047988,0.02575107296137339,0,1
C4 LEMA,LEMA,1,1,0.03534920015606711,0.9672805973235158,3.5897615539188985,-0.2596081614808289,0.03534920015606711,0,1
C5 LEMA,LEMA,5,1,0.14285714285714285,0.6469298245614035,0.6695579721661284,-0.7528439696916818,0.14714898835070508,8.506944444444445e-4,0.9991493055555556
C6 LEMA,LEMA,9,1,1,0.625,0.5303300858899106,0.7071067811865476,1.0267655091689427,6.795297514804864e-4,0.9993204702485196
Cylindromyia_sp LEMA,LEMA,1,1,0.1,0.9672805973235158,3.5897615539188985,-0.24159838593644647,0.1,0,1
D1 CHFU,CHFU,3,1,0.15384615384615385,1.0227272727272727,2.0186783186096933,-0.4304207911043181,0.15384615384615385,0,1
D1 LEMA,LEMA,1,1,0.05353101833788529,0.9672805973235158,3.5897615539188985,-0.2545432517622518,0.05353101833788529,0,1
D2 LEMA,LEMA,1,1,0.06640655481857198,0.9672805973235158,3.5897615539188985,-0.250956513120341,0.06640655481857198,0,1
D3 LEMA,LEMA,1,1,0.049239172844323054,0.9672805973235158,3.5897615539188985,-0.25573883130955544,0.049239172844323054,0,1
D4 LEMA,LEMA,1,1,1.1209520093640266,0.9672805973235158,3.5897615539188985,0.04280825055712952,1.1209520093640266,0,1
