Line,Plot,Subplot,Plant,ID,type_seed_per_fruit,Seeds_GF,visits_GF,Visits_tot,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,1,B5,LEMA,Brassicogethes_sp,Individual,69.33333333333333,8,8,58,0,0.009527963083681434,0.009386524127506147,0.052516582130316035,1,2,2,1.414389561752872e-4,1.0150682994316091
1,1,B5,LEMA,Psilothrix_viridicoerulea,Individual,69.33333333333333,1,1,26,0,0.009527963083681434,0.009386524127506147,0.052516582130316035,1,2,2,1.414389561752872e-4,1.0150682994316091
1,1,B6,LEMA,Andrena_sp,Individual,62,1,1,1,0,0.010626505651806525,0.010475477100389607,0.252516582130316,1,3,3,1.510285514169183e-4,1.0144173434746282
1,1,B6,LEMA,Brassicogethes_sp,Individual,62,8,8,65,0,0.010626505651806525,0.010475477100389607,0.252516582130316,1,3,3,1.510285514169183e-4,1.0144173434746282
1,1,B6,LEMA,Psilothrix_viridicoerulea,Individual,62,1,1,26,0,0.010626505651806525,0.010475477100389607,0.252516582130316,1,3,3,1.510285514169183e-4,1.0144173434746282
1,1,C1,CHFU,Empis_sp,Individual,64,1,1,0,1,0.01219629488758086,0.014300922369918428,1.1538461538461537,1,2,2,-0.0021046274823375687,0.8528327454762924
1,1,C1,CHFU,Ulidiidae,Individual,64,2,2,6,0,0.01219629488758086,0.014300922369918428,1.1538461538461537,1,2,2,-0.0021046274823375687,0.8528327454762924
1,1,C1,LEMA,Brassicogethes_sp,Individual,72,6,6,30,0,0.009076572895735725,0.00890994425836827,0.24393289114319158,1,3,3,1.6662863736745422e-4,1.0187014230993596
1,1,C1,LEMA,Elateridae,Individual,72,1,1,3,0,0.009076572895735725,0.00890994425836827,0.24393289114319158,1,3,3,1.6662863736745422e-4,1.0187014230993596
1,1,C1,LEMA,Psilothrix_viridicoerulea,Individual,72,1,1,26,0,0.009076572895735725,0.00890994425836827,0.24393289114319158,1,3,3,1.6662863736745422e-4,1.0187014230993596
1,1,C2,LEMA,Brassicogethes_sp,Individual,89.5,7,7,65,0,0.009548778582985687,0.009434014402028464,0.5300429184549357,1,2,2,1.14764180957223e-4,1.012164935950548
1,1,C2,LEMA,Malachius_bipustulatus,Individual,89.5,1,1,1,0,0.009548778582985687,0.009434014402028464,0.5300429184549357,1,2,2,1.14764180957223e-4,1.012164935950548
